estacion,obs_peak24_mm,model_peak24_mm,dif_mm,ratio_model_obs,model_15,model_16,model_17,model_18,model_recent_17d_mm
Llanos de Caleu - La Dormida,120.1,120.5,0.4,1.0,3.8,39.6,120.5,30.2,190.4
Quillota  Liceo AgrÃ­cola,84.9,104.8,19.9,1.23,0.3,46.1,104.8,31.4,194.2
Panquehue,71.8,123.2,51.4,1.72,0.5,50.8,123.2,27.2,183.9
Rodelillo  Ad.,67.1,117.3,50.2,1.75,0.6,54.6,117.3,43.8,260.1
Llay Llay  Las PeÃ±as,65.0,142.7,77.7,2.2,0.4,50.4,142.7,29.6,181.2
ViÃ±a del Mar  Ad. (Torquemada),64.7,93.1,28.4,1.44,0.1,39.0,93.1,26.5,180.5
JardÃ­n BotÃ¡nico (ex Parque Fauna)  ViÃ±a del Mar,64.2,100.1,35.9,1.56,0.2,42.1,100.1,29.7,180.5
El TÃ¡rtaro (Putaendo),58.5,83.6,25.1,1.43,1.6,43.3,83.6,29.3,150.1
Chincolco Liceo agrÃ­cola,44.8,114.0,69.2,2.54,2.2,58.9,114.0,33.7,206.8
San Felipe Escuela AgrÃ­cola,40.8,102.9,62.1,2.52,0.7,39.3,102.9,22.1,153.5
San Esteban  Liceo,31.9,89.5,57.6,2.81,0.8,38.2,89.5,23.9,149.8
Santo Domingo  Ad.,31.8,71.6,39.8,2.25,0.7,54.9,71.6,14.5,161.3
San Antonio  Lo Zarate,31.8,77.5,45.7,2.44,1.1,49.7,77.5,27.3,170.3
Quintero  ClimatolÃ³gica,31.4,86.6,55.2,2.76,0.2,43.0,86.6,27.3,170.1
Zapallar Catapilco,1.2,99.6,98.4,83.0,0.4,44.5,99.6,36.0,205.4
Catemu,0.9,134.4,133.5,149.33,1.0,61.1,134.4,30.8,231.4
Los Libertadores,0.0,119.1,119.1,,8.4,55.5,119.1,62.9,239.4
